pair	label
pre :: before	0
04 :: 4	0
chrisma :: christma	0
police :: law	0
freeze :: freezing	2
bouncing :: bouncy	2
luggage :: baggage	2
neighbor :: neighbour	2
tape :: record	0
working :: basic	0
walkway :: walk	2
rainforest :: jungle	2
bin :: chuck	0
home :: dwelling	0
windshield :: windscreen	0
muscular :: muscle	0
compression :: compresion	1
tanjirou :: tanjiro	1
ointment :: salve	1
zinc :: galvanize	0
child :: children	2
woman :: female	2
drill :: bore	0
beam :: shine	0
leaving :: departure	0
ladiery :: woman	0
dance :: dancer	2
jurassic :: lego	0
brace :: bracket	0
remote :: distant	0
barbeque :: barbecue	2
face :: facial	2
cupboard :: closet	0
call :: telephone	0
terrain :: ground	0
subway :: metro	2
stihl :: sthil	1
inverter :: invertor	1
vial :: vile	0
casting :: molding	0
nursing :: nurse	2
fifty :: 1950s	0
dell :: pc	0
blood :: bloody	2
weight :: weigh	0
lycra :: spandex	0
airplane :: aeroplane	2
woman :: lady	2
painter :: paint	0
bottle :: bottel	1
artificial :: artifical	1
fencer :: fencing	0
clothe :: clothing	2
soil :: earth	0
sink :: dip	0
hose :: hise	0
flatware :: silverware	2
third :: half	0
punching :: boxing	2
dinnerware :: dish	0
polishing :: buffing	2
create :: produce	0
pom :: pompon	0
raincoat :: rainsuit	2
merchandise :: merch	2
neckty :: necktie	1
fragrance :: bouquet	0
lego :: leggo	1
sleepwear :: pjs	2
pop :: dad	0
witch :: sorceress	0
disk :: disc	2
recycle :: recycling	2
bow :: arc	0
commode :: toilet	2
fluorescent :: flourescent	2
jackknife :: knife	1
fragrance :: aroma	2
lily :: lilly	1
first :: one	0
handrail :: railing	0
amulet :: charm	0
ancient :: old	2
cooky :: cookie	2
wallet :: wallett	1
seat :: seating	0
windshield :: windsheild	1
reduced :: low	0
create :: manufacture	0
essential :: basic	0
gentleman :: man	2
dryer :: drier	2
1st :: 1	0
beginning :: first	0
camera :: camer	1
glass :: glassess	0
washcloth :: flannel	0
sister :: sis	0
cheer :: cheerleading	0
aid :: help	0
cloak :: disguise	0
satchel :: bookbag	0
snapback :: hat	0
capri :: capry	1
diva :: diving	0
boutique :: store	0
giant :: big	2
star war :: starwar	1
wwii :: ww2	2
closet :: wardrobe	0
protector :: protecter	2
retirement :: retreat	0
varnish :: lacquer	2
cleaner :: janitor	0
chestnut :: copper	0
miniature :: toy	0
wheel :: rim	0
dark :: night	0
drive :: ride	0
candy :: lolly	0
year :: age	0
birthday :: birthdate	2
lattice :: mesh	0
cartridge :: cartidge	1
hi :: hello	0
1 :: one	0
bronze :: tan	0
daylight :: day	0
airlift :: lift	0
math :: mathematic	2
dancing :: dance	2
mac :: apple	0
writing :: write	2
breast :: woman	0
fridge :: refrigerator	2
waist :: waistline	0
wrapper :: wrap	0
4.4mm :: 4mm	0
intake :: inlet	2
total :: full	0
herb :: herbal	0
grandpa :: granddad	2
doll :: girl	0
camouflage :: camoflauge	1
supplement :: suppliment	1
slender :: thin	2
gelatin :: gelatine	2
travelling :: travel	2
private :: secret	2
small :: microscopic	0
duvet :: quilt	0
5th :: 5	0
cockatiel :: cockatoo	0
fixed :: set	0
joint :: hinge	0
islamic :: islam	2
coaxial :: coax	2
easily :: easy	0
badge :: pin	0
festive :: merry	0
ceramic :: pottery	1
collapsible :: collapsable	0
cane :: switch	0
turning :: turn	0
bookcase :: bookshelf	2
sprinkler :: spinkler	1
grooming :: dressing	0
office :: function	0
academy :: school	0
18th :: 18	0
sweatpant :: pant	1
souvenir :: keepsake	2
power supply :: charger	2
20 :: xx	0
bakeware :: cookware	1
butt :: buttock	2
guitar :: axe	0
academy :: university	0
animal :: creature	1
army :: war	0
heating :: warming	2
mommy :: mom	2
01 :: 1	0
tome :: book	1
9th :: nine	0
chef :: cook	2
vegetable :: veggy	2
lounge :: salon	0
centre :: center	2
bathtub :: bath	0
thermoheat :: heater	0
clipper :: nipper	0
backpack :: mochila	0
gel :: jel	1
coupling :: coupler	0
disposable :: disposible	2
boot :: boote	1
ripped :: torn	2
splice :: splicing	0
brother :: bro	0
disguise :: mask	0
handcuff :: cuff	0
best :: better	0
rate :: value	0
condition :: string	0
nanoblock :: lego	0
dynamic :: kinetic	0
thumb :: finger	0
window :: gap	0
stationary :: fixed	0
martial :: wu	0
samsung :: samsun	1
arctic :: artic	1
exercise :: excercise	1
wearing :: wear	2
iron :: iton	1
poncho :: pancho	1
arabic :: arab	2
riddle :: enigma	0
legend :: fable	0
summer :: summertime	2
alcohol :: drink	1
glass :: glase	1
odor :: deodorizer	0
slipper :: sandal	0
da :: pa	0
wardrobe :: press	0
xl :: xxl	0
fisherman :: fishing	2
sand paper :: sandpaper	2
vegetarian :: veg	0
idea :: theme	0
connector :: connecter	2
gun :: rifle	0
umbrella :: sombrilla	1
accurate :: exact	0
forest :: wood	0
clip :: snip	0
ladder :: stepladder	0
liquid :: liquido	2
car :: carro	0
mic :: microphone	2
house miniature :: dollhouse	0
axes :: axe	2
crystal :: cristal	1
charm :: bracelet	0
gal :: gallon	0
organization :: organizer	0
stretchy :: stretchable	2
nature :: natural	0
hat :: hata	1
pcie :: pc	0
quote :: citation	0
dispenser :: dispensor	2
energy :: engery	1
1996 :: 96	0
bohemian :: boho	0
daypack :: knapsack	2
07 :: 7	0
die :: dies	2
trippy :: psychedelic	0
singlet :: vest	0
run :: function	0
90s :: 1990s	0
8 :: eight	0
newborn :: infant	2
messenger :: courier	0
seventh :: 7th	2
aesthetic :: esthetic	1
panty :: pantie	1
duvet :: comforter	0
footstool :: ottoman	2
beef :: fart	0
myth :: legend	0
balloon :: ballon	1
silver :: gold	0
assist :: help	0
puzzle :: puzzler	0
diffuser :: difusor	1
toilette :: toilet	0
vet :: veterinarian	2
clown :: costume	0
volt :: v	0
nintendo :: nitendo	1
acrylic :: acrilico	2
pour :: stream	0
ease :: comfort	0
odor :: perfume	0
glass :: jar	0
calligraphy :: caligraphy	1
glue :: superglue	0
fryer :: freidora	0
heather :: ling	0
autumn :: fall	2
rechargeable :: chargeable	1
tear :: teardrop	0
mix :: premix	0
interior :: inner	0
twin :: parallel	0
skiing :: ski	0
football :: soccer	0
reel :: spool	2
short :: little	0
cover :: civer	1
sticker :: dagger	0
project :: throw	0
game :: juego	2
menstrual :: menstruation	2
decor :: decore	1
cartridge :: cartrige	1
hydraulic :: hydrolic	1
finishing :: finish	0
bonnet :: bonet	1
fold :: folding	0
panty :: panti	1
antenna :: aerial	0
hdd :: hd	0
sleepwear :: clothing	0
precise :: sensitive	0
worldwide :: world	0
motion :: mount	0
teen :: teenage	2
sunglass :: sunny	0
paper :: papel	1
walk :: walking	2
cellphone :: phone	2
chevrolet :: chevy	2
turtle neck :: turtleneck	2
relaxing :: relax	2
college :: school	1
nightmare :: horror	0
moisturizer :: moisturizing	2
2002 :: 02	0
motorcycle :: motocycle	1
shoelace :: lace	1
brow :: forehead	2
dining :: eating	2
canadian :: canuck	2
feminine :: female	2
sofa :: divan	0
doggy :: pup	2
lifter :: booster	0
snowboard :: snowboarding	0
cupcake :: cup cake	2
hairdresser :: hair	0
r1234yf :: 1234yf	0
bed :: furniture	1
want :: need	0
putting :: put	0
hoover :: vacuum	1
forest :: timber	0
accord :: agreement	0
stationery :: stationary	2
slate :: account	0
emblem :: token	0
welding :: welder	0
push :: press	0
cupboard :: wardrobe	0
ornament :: christma	0
tummy :: belly	2
shark :: hustler	0
part :: section	0
cleaner :: cleaned	0
headset :: headphone	0
champagne :: wine	1
3 :: 3rd	0
fusible :: fuse	0
v :: 5	0
hot :: live	0
last :: final	0
mantle :: blanket	0
iii :: three	0
load :: charge	0
burr :: sticker	0
supply :: suply	1
shoe :: shose	1
digestive :: digestion	2
needle :: niddle	0
battery :: batterie	1
sweat :: perspiration	2
boss :: foreman	0
bike :: bicycle	2
shooting :: shot	0
cami :: camisole	2
canceling :: cancelling	2
motorized :: motorised	2
spring :: bounce	0
utv :: atv	0
older :: old	0
woolen :: wool	2
arthriti :: arthritic	2
spout :: tap	0
receptacle :: bin	0
bike :: cycling	0
earring :: earing	1
husband :: hubby	2
fridge :: frigidaire	0
chopping :: cutting	0
stick :: pin	0
bark :: rind	0
band :: banding	0
smoothy :: smoothie	2
woman :: womem	1
6th :: 6	0
shop :: store	0
dolly :: dollie	1
ship :: transport	0
spritzer :: spray	0
world :: worldwide	0
jewellery :: jewelry	0
detangling :: detangler	2
traveler :: traveller	1
snack :: bite	0
help :: aid	0
platter :: dish	1
durable :: strong	0
twister :: tornado	2
positive :: positivity	0
chamfer :: round	0
simply :: just	0
stand :: stabd	1
charger :: chager	1
cookware :: cookset	2
automobile :: auto	2
cloak :: cosplay	0
blocking :: block	0
mind :: thinker	0
part :: portion	0
athletic :: muscular	0
collagen :: colageno	0
trash :: garbage	2
speak :: talk	0
blaster :: shooter	0
spring :: jump	0
age :: year	0
patio :: terrace	0
toddler :: todler	1
fresh :: sweet	0
salmon :: lax	0
barber :: leech	0
ultimate :: extreme	0
mailer :: polymailer	0
outerwear :: outwear	1
stomach :: tummy	2
zombie :: zomby	1
music :: musical	0
number :: book	0
trendy :: classy	0
marker :: mark	0
eggshell :: shell	1
blending :: blend	0
mafia :: mob	2
close :: shut	0
eating :: dining	2
brewing :: brewer	2
removable :: decal	0
bedsheet :: bedspread	0
beautiful :: pretty	2
preschool :: kindergarten	0
milwaukee :: milwakee	1
aquamarine :: aqua	0
flake :: chip	0
slice :: slit	0
flavoring :: flavor	0
hammock :: hamaca	0
decor :: decoracion	0
leotard :: biketard	0
lp :: album	1
easel :: eisel	1
edge :: border	0
floppy :: diskette	0
merchandise :: product	0
stair :: step	2
arthriti :: osteoarthriti	2
