disciplines	1391	discipline
gardening	70726	garden
fanatics	5628	fanatic
hydroponics	7881	hydroponic
hurting	1540	hurt
orthodontics	881	orthodontic
abides	434	abide
smoking	36397	smoke
personalized	901537	personalize
privileged	546	privilege
forgiven	2020	forgive
sagging	1626	sag
downing	514	down
prying	427	pry
bloods	907	blood
parks	17471	park
purchases	449	purchase
organizing	26215	organize
superpowers	916	superpower
westintrends	616	westintrend
tourists	1154	tourist
houseplants	1926	houseplant
canals	700	canal
wetlands	580	wetland
regulators	1364	regulator
prophecies	2350	prophecy
streets	9310	street
villains	9110	villain
confined	837	confine
serrated	10652	serrate
enhancing	10290	enhance
boardshorts	9745	boardshort
aviators	834	aviator
hampers	2591	hamper
facemasks	1442	facemask
studied	486	study
redheads	471	redhead
wargaming	1563	wargame
missionaries	986	missionary
drawings	13346	drawing
leaning	4960	lean
notecards	2988	notecard
knurled	7843	knurle
glues	509	glue
hatched	448	hatch
filed	567	file
miniseries	461	miniserie
teachings	8571	teaching
skis	4380	ski
swaddling	3147	swaddle
boundaries	5667	boundary
bellas	701	bella
homing	512	home
thawing	606	thaw
lying	7456	lie
reports	4017	report
tinted	17015	tint
strongest	6018	strong
yonds	826	yond
parents	34876	parent
grapes	7725	grape
lighter	45505	light
microphones	3791	microphone
slipping	1715	slip
underskirts	435	underskirt
busts	948	bust
especiales	659	especiale
manners	3164	manner
finches	1493	finch
playoffs	533	playoff
sorts	699	sort
plums	766	plum
florals	9302	floral
ananas	501	anana
bombers	1113	bomber
skaters	834	skater
astrophysics	1238	astrophysic
plastics	15633	plastic
addresses	2057	address
gamecocks	3435	gamecock
votives	621	votive
palms	7568	palm
hicks	1384	hick
novelties	9919	novelty
enabled	3226	enable
spots	15024	spot
shims	2149	shim
toenails	4965	toenail
toyouths	1348	toyouth
feasts	1208	feast
ensembles	444	ensemble
jumping	17843	jump
indians	9998	indian
holmes	14787	holme
sections	6548	section
pips	1075	pip
cursed	4920	curse
articulated	3649	articulate
rios	776	rio
technologists	453	technologist
years	470794	year
discs	22750	disc
sliding	75896	slide
christening	16620	christen
forests	2102	forest
tickets	5855	ticket
wellies	1319	wellie
excluding	1060	exclude
tutorials	2917	tutorial
abilities	2112	ability
antibiotics	814	antibiotic
andreas	1798	andrea
curving	680	curve
sliced	4519	slice
jewels	47502	jewel
heading	1162	head
mixes	3357	mix
maples	754	maple
bonbons	411	bonbon
pheasants	419	pheasant
outages	427	outage
notices	677	notice
farmed	586	farm
thinkers	2397	thinker
facing	9642	face
socks	498487	sock
enlisted	1159	enlist
elegantes	10250	elegante
milled	5654	mill
ravishing	1782	ravish
quizzes	2476	quiz
forgiving	1146	forgive
utvs	456	utv
categories	1150	category
